rider_id,rider_name,signup_date,city,email
1,Rider_1,2024-01-27 15:31:00,Calgary,user1@example.com
2,Rider_2,2022-02-17 01:47:00,Calgary,user2@example.com
3,Rider_3,2022-04-07 23:53:00,San Francisco,user3@example.com
4,Rider_4,2021-05-30 00:00:00,Boston,user4@example.com
5,Rider_5,2022-09-03 08:27:00,New York,user5@example.com
6,Rider_6,2023-05-04 20:54:00,Ottawa,user6@example.com
7,Rider_7,2021-08-27 14:14:00,Vancouver,user7@example.com
8,Rider_8,2022-07-15 12:40:00,New York,user8@example.com
9,Rider_9,2022-10-27 06:18:00,New York,user9@example.com
10,Rider_10,2022-04-03 13:35:00,Toronto,user10@example.com
11,Rider_11,2023-01-17 03:56:00,Ottawa,user11@example.com
12,Rider_12,2021-05-31 15:56:00,Boston,user12@example.com
13,Rider_13,2021-11-18 11:45:00,New York,user13@example.com
14,Rider_14,2023-09-19 09:28:00,Chicago,user14@example.com
15,Rider_15,2021-05-08 06:47:00,San Francisco,user15@example.com
16,Rider_16,2021-06-29 10:29:00,Vancouver,user16@example.com
17,Rider_17,2024-05-04 06:19:00,San Francisco,user17@example.com
18,Rider_18,2023-01-02 14:04:00,Montreal,user18@example.com
19,Rider_19,2023-10-24 21:21:00,Vancouver,user19@example.com
20,Rider_20,2021-05-22 13:49:00,San Francisco,user20@example.com
21,Rider_21,2022-08-26 00:03:00,Calgary,user21@example.com
22,Rider_22,2022-07-31 08:38:00,Chicago,user22@example.com
23,Rider_23,2022-07-28 20:17:00,Montreal,user23@example.com
24,Rider_24,2022-11-24 11:42:00,Chicago,user24@example.com
25,Rider_25,2022-02-14 00:23:00,New York,user25@example.com
26,Rider_26,2022-12-24 10:37:00,Vancouver,user26@example.com
27,Rider_27,2021-12-18 10:55:00,San Francisco,user27@example.com
28,Rider_28,2023-05-27 12:38:00,San Francisco,user28@example.com
29,Rider_29,2021-08-23 18:33:00,New York,user29@example.com
30,Rider_30,2021-05-14 03:24:00,Toronto,user30@example.com
31,Rider_31,2024-06-09 11:08:00,Los Angeles,user31@example.com
32,Rider_32,2022-10-06 02:32:00,Calgary,user32@example.com
33,Rider_33,2021-12-20 10:17:00,Ottawa,user33@example.com
34,Rider_34,2021-04-05 17:38:00,Calgary,user34@example.com
35,Rider_35,2023-03-23 19:16:00,Montreal,user35@example.com
36,Rider_36,2023-04-12 21:25:00,Montreal,user36@example.com
37,Rider_37,2023-06-09 16:20:00,Vancouver,user37@example.com
38,Rider_38,2023-01-10 20:20:00,Boston,user38@example.com
39,Rider_39,2021-05-03 15:39:00,San Francisco,user39@example.com
40,Rider_40,2024-01-15 15:14:00,Montreal,user40@example.com
41,Rider_41,2023-02-19 23:41:00,New York,user41@example.com
42,Rider_42,2023-03-14 20:20:00,Ottawa,user42@example.com
43,Rider_43,2023-11-19 12:19:00,Ottawa,user43@example.com
44,Rider_44,2021-08-18 01:14:00,Ottawa,user44@example.com
45,Rider_45,2024-03-22 06:02:00,Toronto,user45@example.com
46,Rider_46,2021-09-26 13:23:00,Vancouver,user46@example.com
47,Rider_47,2021-11-26 03:50:00,Chicago,user47@example.com
48,Rider_48,2021-07-16 00:33:00,Boston,user48@example.com
49,Rider_49,2022-10-20 16:33:00,New York,user49@example.com
50,Rider_50,2023-11-28 04:45:00,Toronto,user50@example.com
51,Rider_51,2021-11-10 16:05:00,Montreal,user51@example.com
52,Rider_52,2023-07-14 08:59:00,Chicago,user52@example.com
53,Rider_53,2022-05-12 17:07:00,San Francisco,user53@example.com
54,Rider_54,2021-05-16 04:37:00,Toronto,user54@example.com
55,Rider_55,2023-05-15 06:45:00,Montreal,user55@example.com
56,Rider_56,2023-05-08 14:04:00,Montreal,user56@example.com
57,Rider_57,2022-03-06 01:30:00,Los Angeles,user57@example.com
58,Rider_58,2022-12-13 17:20:00,Calgary,user58@example.com
59,Rider_59,2024-05-06 20:43:00,New York,user59@example.com
60,Rider_60,2023-07-02 18:25:00,Ottawa,user60@example.com
61,Rider_61,2024-04-29 07:21:00,Calgary,user61@example.com
62,Rider_62,2021-06-24 19:00:00,Montreal,user62@example.com
63,Rider_63,2021-08-21 11:04:00,Montreal,user63@example.com
64,Rider_64,2023-05-31 04:09:00,Chicago,user64@example.com
